"price,currencyId,categoryId,market_category,picture,name,availability,size,material,description,octo_title,kodinprice"
"2900,RUB,""Не указано"",""Не указано"",http://www.textilgroup.ru//upload/iblock/fc9/fc902092ea3a69f90b6475fd096974e8.jpg,cs030-3,1,Евро,Сатин,""Код 021<br />Пододеяльник (X1) / 200X220<br />Простыня (X1) / 220X245<br />Наволочка (X2) / 50X70"",,021"
"5000,RUB,275,""Постельное белье оптом"",http://www.textilgroup.ru//upload/iblock/aa7/aa73c5dcf384cf132633c9dfa4d320ba.jpg,cz012-34,0,""Евро 4 наволочки"",Жаккард,""код 300Б LV LUX Пододеяльник (x1) / 200X220 Простыня (x1) / 250х250 Наволочки (x2) / 50X70 Наволочки (x2) / 70X70"",,300Б"
"2200,RUB,275,""Постельное белье оптом"",http://www.textilgroup.ru//upload/iblock/114/1142a15679e93c87a44657962a051c41.jpg,slk002,0,Евро,Шёлк,""код 067Пододеяльник (X1) / 200X220Простыня (X1) / 250X250Наволочка (X2) / 50X70"",,067"
"2200,RUB,275,""Постельное белье оптом"",http://www.textilgroup.ru//upload/iblock/652/6524b0fedd9b18994bc2f6ea226cf66d.jpg,slk003,0,Евро,Шёлк,""код 067Пододеяльник (X1) / 200X220Простыня (X1) / 250X250Наволочка (X2) / 50X70"",,067"
"5000,RUB,275,""Постельное белье оптом"",http://www.textilgroup.ru//upload/iblock/98b/98bc992690d8fbcfedadd8adaa721b62.jpg,cz003,0,Евро,Жаккард,""код 300Б LV LUX Пододеяльник (x1) / 200X220 Простыня (x1) / 250х250 Наволочки (x2) / 50X70 Наволочки (x2) / 70X70"",,300Б"
"4900,RUB,275,""Постельное белье оптом"",http://www.textilgroup.ru//upload/iblock/821/tj300_19-_cz006_34_.jpg,""tj300-19 (cz006-34)"",0,""Евро 4 наволочки"",Жаккард,""код 300 Пододеяльник (X1) / 200X220 Простыня (X1) / 230х250 Наволочки (X2) / 50X70 Наволочки (х2) / 70х70"",,300"
"2900,RUB,275,""Постельное белье оптом"",http://www.textilgroup.ru//upload/iblock/ee0/ee04cf36dc9140fa8a07a342949d576f.jpg,cs062-3,0,Евро,Сатин,""Код 021Пододеяльник (X1) / 200х220Простыня (X1) / 220X245Наволочка (X2) / 50X70"",,021"
"2900,RUB,275,""Постельное белье оптом"",http://www.textilgroup.ru//upload/iblock/810/81083f1fffae6fdcd7e0164c9f6f4fc9.jpg,cs007-3,1,Евро,Сатин,""Код 021Пододеяльник (X1) / 200х220Простыня (X1) / 220X240Наволочка (X2) / 50X70"",,021"
